Room 1:
  Tile: 78  | Grid: ( 0,  0) | Screen: ( 32,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 0,  1) | Screen: ( 32,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 0,  2) | Screen: ( 32,  16) | Depth: -16 | Prio: 0
  Tile: 90  | Grid: ( 0,  3) | Screen: ( 32,  24) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 0,  4) | Screen: ( 32,  32) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 0,  5) | Screen: ( 32,  40) | Depth: -16 | Prio: 0
  Tile: 174 | Grid: ( 0,  6) | Screen: ( 32,  48) | Depth: -16 | Prio: 0
  Tile: 109 | Grid: ( 0,  7) | Screen: ( 32,  56) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 1,  0) | Screen: ( 48,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 1,  1) | Screen: ( 48,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 1,  2) | Screen: ( 48,  16) | Depth: -16 | Prio: 0
  Tile: 80  | Grid: ( 1,  3) | Screen: ( 48,  24) | Depth: -16 | Prio: 0
  Tile: 6   | Grid: ( 1,  4) | Screen: ( 48,  32) | Depth: -16 | Prio: 0
  Tile: 174 | Grid: ( 1,  5) | Screen: ( 48,  40) | Depth: -16 | Prio: 0
  Tile: 109 | Grid: ( 1,  6) | Screen: ( 48,  48) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 2,  0) | Screen: ( 64,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 2,  1) | Screen: ( 64,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 2,  2) | Screen: ( 64,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 2,  3) | Screen: ( 64,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 2,  4) | Screen: ( 64,  32) | Depth: -16 | Prio: 0
  Tile: 109 | Grid: ( 2,  5) | Screen: ( 64,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 3,  0) | Screen: ( 80,   0) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 3,  1) | Screen: ( 80,   8) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 3,  2) | Screen: ( 80,  16) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 3,  3) | Screen: ( 80,  24) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 3,  4) | Screen: ( 80,  32) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 3,  5) | Screen: ( 80,  40) | Depth: -16 | Prio: 0
  Tile: 2   | Grid: ( 4,  0) | Screen: ( 96,   0) | Depth: -16 | Prio: 0
