Room 0:
  Tile: 5   | Grid: ( 0,  5) | Screen: ( 32,  40) | Depth: -25 | Prio: 0
  Tile: 5   | Grid: ( 0,  4) | Screen: ( 32,  32) | Depth: -25 | Prio: 0
  Tile: 5   | Grid: ( 1,  4) | Screen: ( 48,  32) | Depth: -25 | Prio: 0
  Tile: 79  | Grid: ( 1,  3) | Screen: ( 48,  24) | Depth: -25 | Prio: 0
  Tile: 5   | Grid: ( 0,  3) | Screen: ( 32,  24) | Depth: -25 | Prio: 0
  Tile: 79  | Grid: ( 0,  2) | Screen: ( 32,  16) | Depth: -25 | Prio: 0
  Tile: 1   | Grid: ( 7,  9) | Screen: (144,  72) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  8) | Screen: (144,  64) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  8) | Screen: (160,  64) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  7) | Screen: (160,  56) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 9,  7) | Screen: (176,  56) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 9,  6) | Screen: (176,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: (10,  6) | Screen: (192,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: (10,  5) | Screen: (192,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: (11,  5) | Screen: (208,  40) | Depth: -14 | Prio: 1
  Tile: 78  | Grid: (11,  4) | Screen: (208,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  8) | Screen: (128,  64) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  7) | Screen: (128,  56) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  7) | Screen: (144,  56) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  6) | Screen: (144,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  6) | Screen: (160,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  5) | Screen: (160,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 9,  5) | Screen: (176,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 9,  4) | Screen: (176,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: (10,  4) | Screen: (192,  32) | Depth: -14 | Prio: 1
  Tile: 78  | Grid: (10,  3) | Screen: (192,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  7) | Screen: (112,  56) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  6) | Screen: (112,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  6) | Screen: (128,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  5) | Screen: (128,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  5) | Screen: (144,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  4) | Screen: (144,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  4) | Screen: (160,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  3) | Screen: (160,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 9,  3) | Screen: (176,  24) | Depth: -14 | Prio: 1
  Tile: 78  | Grid: ( 9,  2) | Screen: (176,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  6) | Screen: ( 96,  48) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  5) | Screen: ( 96,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  5) | Screen: (112,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  4) | Screen: (112,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  4) | Screen: (128,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  3) | Screen: (128,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  3) | Screen: (144,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  2) | Screen: (144,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 8,  2) | Screen: (160,  16) | Depth: -14 | Prio: 1
  Tile: 78  | Grid: ( 8,  1) | Screen: (160,   8) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 3,  5) | Screen: ( 80,  40) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 3,  4) | Screen: ( 80,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  4) | Screen: ( 96,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  3) | Screen: ( 96,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  3) | Screen: (112,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  2) | Screen: (112,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  2) | Screen: (128,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  1) | Screen: (128,   8) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 7,  1) | Screen: (144,   8) | Depth: -14 | Prio: 1
  Tile: 78  | Grid: ( 7,  0) | Screen: (144,   0) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 2,  4) | Screen: ( 64,  32) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 2,  3) | Screen: ( 64,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 3,  3) | Screen: ( 80,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 3,  2) | Screen: ( 80,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  2) | Screen: ( 96,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  1) | Screen: ( 96,   8) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  1) | Screen: (112,   8) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 5,  0) | Screen: (112,   0) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 6,  0) | Screen: (128,   0) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 1,  3) | Screen: ( 48,  24) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 1,  2) | Screen: ( 48,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 2,  2) | Screen: ( 64,  16) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 2,  1) | Screen: ( 64,   8) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 3,  1) | Screen: ( 80,   8) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 3,  0) | Screen: ( 80,   0) | Depth: -14 | Prio: 1
  Tile: 1   | Grid: ( 4,  0) | Screen: ( 96,   0) | Depth: -14 | Prio: 1
